Date,Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou,Chikou1,Chikou2,T/K ,T/K 1,T/K 2,Preco X T/K ,Preco X T/K 1,Preco X T/K 2,Kumo ,Kumo 1,Kumo 2,Resultado
2/1/213,11.5,11.12,11.2,11.5,1.52,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
3/1/213,11.5,11.8,11.9,1.94,1.69,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
4/1/213,1.88,1.97,11.5,1.75,1.55,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
7/1/213,1.79,1.81,1.84,1.7,1.88,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1
8/1/213,1.88,1.69,1.98,1.69,1.76,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,0
9/1/213,1.96,1.99,11,1.85,1.59,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,2
1/1/213,1.95,11.1,11.3,1.8,1.29,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
11/1/213,1.96,1.99,1.99,1.82,1.14,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
14/1/213,1.87,1.96,1.98,1.87,1.33,1.95,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
15/1/213,1.61,1.87,1.96,1.58,1.36,1.84,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
16/1/213,1.49,1.54,1.58,1.27,1.39,1.66,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,0
17/1/213,1.8,1.51,1.83,1.5,1.41,1.65,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
18/1/213,1.9,1.84,1.92,1.75,1.5,1.65,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
21/1/213,1.95,1.82,1.96,1.82,1.3,1.65,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
22/1/213,1.95,1.9,1.96,1.77,1.32,1.65,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
23/1/213,1.89,1.89,1.94,1.83,1.46,1.63,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
24/1/213,1.68,1.89,1.91,1.58,1.97,1.63,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1
28/1/213,1.62,1.72,1.72,1.56,1.8,1.62,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1
29/1/213,1.9,1.57,1.9,1.57,1.97,1.62,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1
3/1/213,1.74,1.81,1.9,1.73,11.4,1.73,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1
31/1/213,1.91,1.8,1.91,1.68,1.83,1.76,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,0
1/2/213,11.22,1.91,11.23,1.9,1.53,1.9,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
4/2/213,11,11.9,11.16,1.88,1.72,1.9,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
5/2/213,11.23,11.4,11.23,11.1,1.75,1.9,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
6/2/213,1.87,11.21,11.21,1.82,1.65,1.9,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2
7/2/213,1.69,1.84,1.99,1.53,1.72,1.88,1.75,None,None,1,None,None,None,1,None,1,None,None,None,None,None,1
8/2/213,1.52,1.62,1.72,1.51,1.54,1.87,1.75,None,None,1,None,None,None,1,None,None,None,1,None,None,None,1
13/2/213,1.69,1.55,1.78,1.54,1.25,1.87,1.75,None,None,None,None,1,None,1,None,None,None,1,None,None,None,2
14/2/213,1.55,1.68,1.68,1.45,1.32,1.84,1.75,None,None,None,None,1,None,1,None,None,None,1,None,None,None,2
15/2/213,1.88,1.55,1.97,1.45,1.36,1.84,1.75,None,None,None,None,1,None,1,None,1,None,None,None,None,None,0
18/2/213,1.76,1.8,1.91,1.69,1.46,1.84,1.75,None,None,None,None,1,None,1,None,1,None,None,None,None,None,0
19/2/213,1.59,1.77,1.91,1.53,1.56,1.84,1.75,None,None,1,None,None,None,1,None,1,None,None,None,None,None,1
2/2/213,1.29,1.57,1.57,1.1,1.68,1.66,1.67,None,None,None,1,None,None,None,1,None,None,1,None,None,None,2
21/2/213,1.14,1.23,1.42,1.4,1.72,1.52,1.64,None,None,None,1,None,None,None,1,None,None,1,None,None,None,2
22/2/213,1.33,1.2,1.33,1.2,1.5,1.5,1.63,5.47,None,None,1,None,None,None,1,None,None,1,None,None,None,2
25/2/213,1.36,1.33,1.55,1.25,1.76,1.5,1.63,5.42,None,None,1,None,None,None,1,None,None,1,None,None,None,2
26/2/213,1.39,1.33,1.54,1.28,1.74,1.5,1.63,5.33,None,None,1,None,None,None,1,None,None,1,None,None,None,2
27/2/213,1.41,1.37,1.53,1.22,1.73,1.5,1.63,5.33,None,None,1,None,None,None,1,None,None,1,None,None,None,2
28/2/213,1.5,1.36,1.62,1.33,1.61,1.47,1.63,5.33,None,1,None,None,None,None,1,1,None,None,None,None,None,2
1/3/213,1.3,1.38,1.38,1.15,1.54,1.47,1.63,5.33,None,None,1,None,None,None,1,None,None,1,None,None,None,2
4/3/213,1.32,1.28,1.32,1.4,1.87,1.32,1.63,5.33,None,None,1,None,None,None,1,1,None,None,None,None,None,0
5/3/213,1.46,1.53,1.78,1.46,1.65,1.4,1.63,5.32,None,1,None,None,None,None,1,1,None,None,None,None,None,2
6/3/213,1.97,1.5,1.97,1.49,1.33,1.5,1.63,5.31,None,None,None,1,None,None,1,1,None,None,None,None,None,2
7/3/213,1.8,11.2,11.4,1.69,1.26,1.54,1.63,5.31,None,None,None,1,None,None,1,None,1,None,None,None,None,2
8/3/213,1.97,1.72,11.1,1.72,1.37,1.54,1.63,5.31,None,None,None,1,None,None,1,None,1,None,None,None,None,2
11/3/213,11.4,1.88,11.5,1.88,1.19,1.55,1.63,5.37,None,None,None,1,None,None,1,None,1,None,None,None,None,2
12/3/213,1.83,1.97,11,1.76,1.29,1.55,1.63,5.38,None,None,1,1,None,None,1,None,1,None,None,None,None,2
13/3/213,1.53,1.84,1.9,1.51,1.44,1.55,1.63,5.45,None,None,None,1,None,None,1,1,None,None,None,None,None,2
14/3/213,1.72,1.72,1.76,1.57,1.61,1.55,1.63,5.45,None,1,None,None,None,None,1,None,1,None,None,None,None,0
15/3/213,1.75,1.72,1.96,1.72,1.73,1.76,1.62,5.45,None,1,None,None,None,1,None,1,None,None,None,None,None,1
18/3/213,1.65,1.62,1.72,1.58,1.68,1.77,1.54,5.45,None,1,None,None,None,1,None,1,None,None,None,None,None,1
19/3/213,1.72,1.66,1.78,1.64,1.85,1.78,1.54,1.82,None,None,1,None,None,1,None,1,None,None,None,None,None,1
2/3/213,1.54,1.72,1.83,1.45,1.83,1.75,1.54,1.81,None,None,None,None,None,1,None,1,None,None,None,None,None,1
21/3/213,1.25,1.54,1.55,1.23,1.69,1.64,1.54,1.81,None,None,1,None,None,1,None,1,None,None,None,None,None,1
22/3/213,1.32,1.29,1.44,1.18,11.4,1.59,1.54,1.8,None,None,1,None,None,1,None,None,None,1,None,None,None,1
25/3/213,1.36,1.27,1.42,1.18,11.26,1.57,1.54,1.8,None,None,1,None,None,1,None,None,None,1,None,None,None,1
26/3/213,1.46,1.4,1.58,1.38,11.45,1.57,1.54,1.8,None,None,1,None,None,1,None,None,None,1,None,None,None,1
27/3/213,1.56,1.47,1.61,1.33,11.4,1.57,1.54,1.8,None,None,1,None,None,1,None,1,None,None,None,None,None,1
