Date;Fechamento;Abertura;Maxima;Minima;Chikou;Tekan;Kinju;Senkou A;Senkou B;Chikou0;Chikou1;Chikou2;T/K 0;T/K 1;T/K 2;Preco X T/K 0;Preco X T/K 1;Preco X T/K 2;Kumo 0;Kumo 1;Kumo 2;Resultado;
02/01/2013;11,05;11,12;11,2;11,05;10,52;;;;;; ;2;;;;;;;;;;VENDIDO;
03/01/2013;11,05;11,08;11,09;10,94;10,69;;;;;;;2;;;;;;;;;;VENDIDO;
04/01/2013;10,88;10,97;11,05;10,75;10,55;;;;;;;2;;;;;;;;;;VENDIDO;
07/01/2013;10,79;10,81;10,84;10,7;10,88;;;;;;1;;;;;;;;;;;COMPRADO;
08/01/2013;10,88;10,69;10,98;10,69;10,76;;;;;0;;;;;;;;;;;;VENDIDO;
09/01/2013;10,96;10,99;11;10,85;10,59;;;;;;;2;;;;;;;;;;VENDIDO;
10/01/2013;10,95;11,01;11,03;10,8;10,29;;;;;;;2;;;;;;;;;;VENDIDO;
11/01/2013;10,96;10,99;10,99;10,82;10,14;;;;;;;2;;;;;;;;;;VENDIDO;
14/01/2013;10,87;10,96;10,98;10,87;10,33;10,945;;;;;;2;;;;;;;;;;VENDIDO;
15/01/2013;10,61;10,87;10,96;10,58;10,36;10,835;;;;;;2;;;;;;;;;;VENDIDO;
16/01/2013;10,49;10,54;10,58;10,27;10,39;10,66;;;;0;;;;;;;;;;;;VENDIDO;
17/01/2013;10,8;10,51;10,83;10,5;10,41;10,65;;;;;;2;;;;;;;;;;VENDIDO;
18/01/2013;10,9;10,84;10,92;10,75;10,5;10,65;;;;;;2;;;;;;;;;;VENDIDO;
21/01/2013;10,95;10,82;10,96;10,82;10,3;10,65;;;;;;2;;;;;;;;;;VENDIDO;
22/01/2013;10,95;10,9;10,96;10,77;10,32;10,65;;;;;;2;;;;;;;;;;VENDIDO;
23/01/2013;10,89;10,89;10,94;10,83;10,46;10,63;;;;;;2;;;;;;;;;;VENDIDO;
24/01/2013;10,68;10,89;10,91;10,58;10,97;10,625;;;;;1;;;;;;;;;;;COMPRADO;
28/01/2013;10,62;10,72;10,72;10,56;10,8;10,615;;;;;1;;;;;;;;;;;COMPRADO;
29/01/2013;10,9;10,57;10,9;10,57;10,97;10,615;;;;;1;;;;;;;;;;;COMPRADO;
30/01/2013;10,74;10,81;10,9;10,73;11,04;10,73;;;;;1;;;;;;;;;;;COMPRADO;
31/01/2013;10,91;10,8;10,91;10,68;10,83;10,76;;;;0;;;;;;;;;;;;VENDIDO;
01/02/2013;11,22;10,91;11,23;10,9;10,53;10,895;;;;;;2;;;;;;;;;;VENDIDO;
04/02/2013;11;11,09;11,16;10,88;10,72;10,895;;;;;;2;;;;;;;;;;VENDIDO;
05/02/2013;11,23;11,04;11,23;11,01;10,75;10,895;;;;;;2;;;;;;;;;;VENDIDO;
06/02/2013;10,87;11,21;11,21;10,82;10,65;10,895;;;;;;2;;;;;;;;;;VENDIDO;
07/02/2013;10,69;10,84;10,99;10,53;10,72;10,88;10,75;;;0;;;;1;;0;;;;;;COMPRADO;
08/02/2013;10,52;10,62;10,72;10,51;10,54;10,87;10,75;;;0;;;;1;;;;2;;;;COMPRADO;
13/02/2013;10,69;10,55;10,78;10,54;10,25;10,87;10,75;;;;;2;;1;;;;2;;;;VENDIDO;
14/02/2013;10,55;10,68;10,68;10,45;10,32;10,84;10,75;;;;;2;;1;;;;2;;;;VENDIDO;
15/02/2013;10,88;10,55;10,97;10,45;10,36;10,84;10,75;;;;;2;;1;;0;;;;;;VENDIDO;
18/02/2013;10,76;10,8;10,91;10,69;10,46;10,84;10,75;;;;;2;;1;;0;;;;;;VENDIDO;
