Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou0,Chikou1,Chikou2,T/K 0,T/K 1,T/K 2,Preco X T/K 0,Preco X T/K 1,Preco X T/K 2,Kumo 0,Kumo 1,Kumo 2,Resultado
13.24,13.24,12.77,13.22,17.49,13.15,13.26,12.27,11.51,0,1,1,0,0,1,1,0,0,0,1,0,0
13.12,13.19,12.98,13.09,17.6,13.1,13.24,12.36,11.56,0,1,1,0,0,1,1,0,0,0,1,0,0
13.09,13.26,12.96,13.19,18.6,13.1,13.24,12.45,11.65,0,0,1,0,0,1,1,0,0,0,1,0,0
13.12,13.24,12.84,13.19,19.46,13.1,13.24,12.48,11.65,0,1,1,0,0,1,1,0,0,0,1,0,0
13.19,13.19,13.03,13.15,19.45,13.1,13.24,12.52,11.65,0,1,1,0,0,1,1,0,0,0,1,0,0
13.11,13.15,13.06,13.15,20.3,13.1,13.24,12.66,11.65,0,0,1,0,0,1,1,0,0,0,1,0,0
13.1,13.2,13.04,13.2,20.35,13.1,13.24,12.68,11.65,0,0,1,0,0,1,1,0,0,0,1,0,0
13.2,13.5,13.05,13.5,19.76,13.08,13.24,12.83,11.65,0,1,1,0,0,1,1,0,0,0,1,0,0
13.51,13.65,13.18,13.58,20.55,13.14,13.19,12.93,11.69,0,1,0,0,0,1,0,1,0,0,1,0,0
13.67,14.19,13.5,14,20.3,13.3,13.3,12.93,11.69,0,1,0,1,0,0,0,1,0,0,1,0,0
14,14.1,13.85,14,20.56,13.5,13.47,12.93,11.69,0,1,0,0,1,0,0,1,0,0,1,0,0
14.02,14.07,13.84,13.89,20.91,13.5,13.47,12.96,11.91,0,1,0,0,1,0,0,1,0,0,1,0,0
13.94,14.03,13.54,13.64,21.95,13.5,13.47,12.99,11.96,0,1,0,0,1,0,0,1,0,0,1,0,0
13.65,14.1,13.5,14.1,22.4,13.5,13.47,12.99,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
14.1,14.32,13.88,14.2,23.46,13.54,13.49,12.99,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
14.15,14.65,14.01,14.53,23.74,13.76,13.55,12.99,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
14.53,15.47,14.45,15.36,23.94,14.02,13.77,12.99,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
15.34,15.7,15.17,15.57,25.33,14.41,14.13,13,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
15.52,15.65,15.32,15.38,25,14.48,14.21,13.03,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
15.48,15.65,15.38,15.5,27.4,14.51,14.24,13.01,12.01,0,1,0,0,1,0,0,1,0,0,1,0,0
15.62,16.98,15.45,16.52,27.43,14.55,14.27,13.01,12.06,0,1,0,0,1,0,0,1,0,0,1,0,0
16.53,17.6,16.45,17.35,27.36,15.28,14.77,13.04,12.06,0,1,0,0,1,0,0,1,0,0,1,0,0
17.5,17.6,16.86,17.5,26.81,15.53,14.98,13.08,12.09,0,1,0,0,1,0,0,1,0,0,1,0,0
17.5,19.2,16,17.29,26.92,15.7,14.98,13.08,12.09,0,1,0,0,1,0,0,1,0,0,1,0,0
