Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou0,Chikou1,Chikou2,T/K 0,T/K 1,T/K 2,Preco X T/K 0,Preco X T/K 1,Preco X T/K 2,Kumo 0,Kumo 1,Kumo 2,Resultado
59.1,59.1,59.1,59.1,90,51.7,44.45,25.4,21.55,0,0,1,0,1,0,0,1,0,0,1,0,1
64.5,64.5,64.5,64.5,82.4,54.4,47.15,26.53,21.8,0,1,0,0,1,0,0,1,0,0,1,0,1
70.8,70.8,70.8,70.8,68.4,58.85,50.35,26.73,21.85,0,0,1,0,1,0,0,1,0,0,1,0,1
69.9,69.9,69.9,69.9,93.1,58.9,50.6,26.75,21.85,0,1,0,0,1,0,0,1,0,0,1,0,1
64.3,64.3,64.3,64.3,109,58.9,50.85,26.8,21.9,0,0,1,0,1,0,0,1,0,0,1,0,1
71.5,71.5,71.5,71.5,118.5,59.25,51.2,27.2,22.25,0,0,1,0,1,0,0,1,0,0,1,0,1
73.6,73.6,73.6,73.6,126.6,60.5,53.5,27.8,22.35,0,0,1,0,1,0,0,1,0,0,1,0,1
78.5,78.5,78.5,78.5,119.2,65.05,56.4,29.2,23.55,0,0,1,0,1,0,0,1,0,0,1,0,1
88.9,88.9,88.9,88.9,127.4,74,61.6,29.8,24.15,0,0,1,0,0,1,0,1,0,0,1,0,1
86.2,86.2,86.2,86.2,143.5,76.6,61.7,29.85,24.3,0,0,1,0,1,0,0,1,0,0,1,0,1
90.5,90.5,90.5,90.5,154.2,77.4,63.35,30,24.3,0,0,1,0,1,0,0,1,0,0,0,1,1
92.2,92.2,92.2,92.2,141.7,78.25,66.25,31.1,25.15,0,0,1,0,1,0,0,1,0,0,1,0,1
93,93,93,93,136.9,78.65,67,33.43,27.2,0,1,0,0,1,0,1,0,0,0,1,0,1
104,104,104,104,128,87.75,73,34.13,27.65,0,1,0,0,1,0,1,0,0,0,1,0,1
118,118,118,118,134.4,95.8,81.1,34.73,28.15,0,1,0,0,1,0,0,0,1,0,1,0,1
135,135,135,135,144,106.75,89.65,36.5,29.45,0,1,0,0,0,1,0,0,1,0,1,0,1
132.1,132.1,132.1,132.1,139.2,110.6,89.65,38.03,31.15,0,1,0,0,0,1,1,0,0,0,1,0,1
142.3,142.3,142.3,142.3,116.4,114.25,93.3,38.03,31.2,0,0,1,0,0,1,1,0,0,0,1,0,1
142.6,142.6,142.6,142.6,106.3,116.55,93.45,39.53,32,0,0,1,0,0,1,1,0,0,0,1,0,1
162.3,162.3,162.3,162.3,98.1,127.25,104.6,39.95,32.05,0,1,0,0,1,0,0,1,0,0,1,0,1
187.5,187.5,187.5,187.5,112.9,140.25,117.25,40.98,32.6,0,0,1,0,1,0,0,1,0,0,1,0,1
230,230,230,230,116,167,138.5,41.15,32.65,0,0,1,0,0,1,1,0,0,0,1,0,1
165,165,165,165,112.3,174,138.5,41.45,32.65,0,1,0,0,0,1,0,0,1,0,1,0,1
124.9,124.9,124.9,124.9,109.6,177.45,138.7,42.6,32.65,0,0,1,0,1,0,0,0,1,0,1,0,0
117,117,117,117,113.2,173.5,140.8,42.68,32.9,0,1,0,0,1,0,0,0,1,0,1,0,0
93,93,93,93,112.8,161.5,144.55,44.33,34.7,0,1,0,0,1,0,0,0,1,0,1,0,1
90,90,90,90,117.7,160,147.15,48.08,38.45,0,1,0,0,0,1,0,0,1,0,1,0,1
82.4,82.4,82.4,82.4,115.6,156.2,147.15,50.78,41.6,0,0,1,0,1,0,0,1,0,0,1,0,1
68.4,68.4,68.4,68.4,114.8,149.2,147.15,54.6,45.15,0,0,1,0,1,0,0,1,0,0,1,0,1
93.1,93.1,93.1,93.1,118,149.2,147.15,54.75,45.2,0,0,1,0,1,0,0,1,0,0,1,0,1
109,109,109,109,111.4,116.7,149.2,54.88,45.2,0,1,0,0,0,1,0,0,1,0,1,0,0
118.5,118.5,118.5,118.5,114.2,96.65,149.2,55.23,45.55,0,0,1,0,1,0,0,0,1,0,1,0,2
126.6,126.6,126.6,126.6,118.2,97.5,149.2,57,46.6,0,0,1,0,1,0,0,0,1,0,0,1,2
119.2,119.2,119.2,119.2,123.5,97.5,149.2,60.73,49.45,0,1,0,0,1,0,0,0,1,0,1,0,1
127.4,127.4,127.4,127.4,123.2,97.9,149.2,67.8,54.65,0,0,1,0,1,0,0,0,1,0,1,0,2
143.5,143.5,143.5,143.5,122.5,105.95,149.2,69.15,54.75,0,0,1,0,0,1,1,0,0,0,1,0,2
154.2,154.2,154.2,154.2,122,111.3,149.2,70.38,55.85,0,0,1,0,0,1,0,1,0,0,1,0,2
141.7,141.7,141.7,141.7,122.9,123.65,149.2,72.25,57.15,0,0,1,0,0,1,1,0,0,0,1,0,2
136.9,136.9,136.9,136.9,123.8,131.6,149.2,72.83,57.85,0,0,1,0,0,1,1,0,0,0,1,0,2
128,128,128,128,126.3,136.35,149.2,80.38,63.8,0,1,0,0,0,1,0,0,1,0,1,0,2
134.4,134.4,134.4,134.4,133.1,136.7,149.2,88.45,71,0,0,1,0,0,1,0,0,1,0,1,0,2
144,144,144,144,132,136.7,149.2,98.2,79.6,0,0,1,0,0,1,0,0,1,0,1,0,2
139.2,139.2,139.2,139.2,133.5,140.8,149.2,100.13,79.6,0,0,1,0,0,1,0,0,1,0,0,1,2
116.4,116.4,116.4,116.4,129.8,135.3,149.2,103.78,83.25,0,1,0,0,0,1,0,0,1,0,0,1,0
106.3,106.3,106.3,106.3,129,130.25,149.2,105,84.7,0,0,1,0,0,1,0,0,1,0,0,1,0
98.1,98.1,98.1,98.1,132.3,121.05,149.2,115.93,94.55,0,0,1,0,0,1,0,1,0,0,0,1,0
112.9,112.9,112.9,112.9,128.8,121.05,149.2,128.75,107.15,0,1,0,0,0,1,0,0,1,0,1,0,0
116,116,116,116,128.8,121.05,116.7,152.75,128.4,0,1,0,0,1,0,0,0,1,0,1,0,1
112.3,112.3,112.3,112.3,129.3,121.05,111.3,156.25,128.5,0,1,0,0,1,0,1,0,0,0,1,0,1
