,DateTime,CaminhoTabela,X.head,MLPClassifier,accuracy,
Versao 1 BTCUSD,11/11/19 23:49,~/Documentos/IAFinancialmarket/BTC_USD.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,",1.00,
,11/11/19 23:52,-,-,"       beta_2=0.999, early_stopping=False, epsilon=1e-08,",1.00,
,11/11/19 23:52,-,-,"       hidden_layer_sizes=(100,), learning_rate='constant',",1.00,
,11/11/19 23:52,-,-,"       learning_rate_init=0.001, max_iter=200, momentum=0.9,",1.00,
,11/11/19 23:52,-,-,"       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",1.00,
,11/11/19 23:52,-,-,"       random_state=None, shuffle=True, solver='adam', tol=0.0001,",1.00,
,11/11/19 23:52,-,-,"       validation_fraction=0.1, verbose=False, warm_start=False)",1.00,
,11/11/19 23:52,-,-,,1.00,
,11/11/19 23:52,-,-,,1.00,
,11/11/19 23:52,-,-,,1.00,
Versao 1 B3SA3,11/11/19 23:57,~/Documentos/IAFinancialmarket/B3SA3.csv,Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,",0.99,
,11/11/19 23:57,-,-,"       beta_2=0.999, early_stopping=False, epsilon=1e-08,",0.99,
,11/11/19 23:57,-,-,"       hidden_layer_sizes=(100,), learning_rate='constant',",0.99,
,11/11/19 23:57,-,-,"       learning_rate_init=0.001, max_iter=200, momentum=0.9,",0.99,
,11/11/19 23:57,-,-,"       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,",0.99,
,11/11/19 23:57,-,-,"       random_state=None, shuffle=True, solver='adam', tol=0.0001,",0.99,
,11/11/19 23:57,-,-,"       validation_fraction=0.1, verbose=False, warm_start=False)",0.99,
,11/11/19 23:57,-,-,,0.99,
,11/11/19 23:57,-,-,,0.99,
,11/11/19 23:57,-,-,,0.99,
