Fechamento,Abertura,Maxima,Minima,Resultado
13.3,13.3,13.3,13.3,1
13.3,13.3,13.3,13.3,1
13.4,13.4,13.4,13.4,1
13.5,13.5,13.5,13.5,1
13.4,13.4,13.4,13.4,1
13.4,13.4,13.4,13.4,1
13.6,13.6,13.6,13.6,1
13.7,13.7,13.7,13.7,1
13.8,13.8,13.8,13.8,1
14.1,14.1,14.1,14.1,1
14.1,14.1,14.1,14.1,1
14.2,14.2,14.2,14.2,1
14.1,14.1,14.1,14.1,1
14.3,14.3,14.3,14.3,1
14.3,14.3,14.3,14.3,1
14.7,14.7,14.7,14.7,1
15.5,15.5,15.5,15.5,1
15.7,15.7,15.7,15.7,1
15.6,15.6,15.6,15.6,1
15.7,15.7,15.7,15.7,1
16.8,16.8,16.8,16.8,1
17.3,17.3,17.3,17.3,1
17.5,17.5,17.5,17.5,1
16.9,16.9,16.9,16.9,1
17.4,17.4,17.4,17.4,1
17.9,17.9,17.9,17.9,1
17.8,17.8,17.8,17.8,1
18.7,18.7,18.7,18.7,1
19.5,19.5,19.5,19.5,1
19.7,19.7,19.7,19.7,1
20.4,20.4,20.4,20.4,1
20.5,20.5,20.5,20.5,1
19.6,19.6,19.6,19.6,1
20.6,20.6,20.6,20.6,1
20.4,20.4,20.4,20.4,1
20.6,20.6,20.6,20.6,1
21.2,21.2,21.2,21.2,1
22.1,22.1,22.1,22.1,1
22.7,22.7,22.7,22.7,1
23.6,23.6,23.6,23.6,1
24,24,24,24,1
24.6,24.6,24.6,24.6,1
25.2,25.2,25.2,25.2,1
24.2,24.2,24.2,24.2,1
27.2,27.2,27.2,27.2,1
27.1,27.1,27.1,27.1,1
27.2,27.2,27.2,27.2,1
26.8,26.8,26.8,26.8,1
27,27,27,27,1
29.4,29.4,29.4,29.4,1
29.6,29.6,29.6,29.6,1
29.8,29.8,29.8,29.8,1
30.3,30.3,30.3,30.3,1
29.8,29.8,29.8,29.8,1
29.9,29.9,29.9,29.9,1
30.4,30.4,30.4,30.4,1
31.1,31.1,31.1,31.1,1
30.9,30.9,30.9,30.9,1
33.4,33.4,33.4,33.4,1
34.5,34.5,34.5,34.5,1
34.3,34.3,34.3,34.3,1
34.5,34.5,34.5,34.5,1
36.2,36.2,36.2,36.2,1
40.3,40.3,40.3,40.3,1
41,41,41,41,1
42,42,42,42,1
44.2,44.2,44.2,44.2,1
46.8,46.8,46.8,46.8,1
46,46,46,46,1
48.4,48.4,48.4,48.4,1
44.3,44.3,44.3,44.3,1
46.9,46.9,46.9,46.9,1
47.2,47.2,47.2,47.2,1
47,47,47,47,1
47,47,47,47,1
47.4,47.4,47.4,47.4,1
51.6,51.6,51.6,51.6,1
59.1,59.1,59.1,59.1,1
64.5,64.5,64.5,64.5,1
70.8,70.8,70.8,70.8,1
69.9,69.9,69.9,69.9,1
64.3,64.3,64.3,64.3,1
71.5,71.5,71.5,71.5,1
73.6,73.6,73.6,73.6,1
78.5,78.5,78.5,78.5,1
88.9,88.9,88.9,88.9,1
86.2,86.2,86.2,86.2,1
90.5,90.5,90.5,90.5,1
92.2,92.2,92.2,92.2,1
93,93,93,93,1
104,104,104,104,1
118,118,118,118,1
135,135,135,135,1
132.1,132.1,132.1,132.1,1
142.3,142.3,142.3,142.3,1
142.6,142.6,142.6,142.6,1
162.3,162.3,162.3,162.3,1
187.5,187.5,187.5,187.5,1
230,230,230,230,1
165,165,165,165,1
124.9,124.9,124.9,124.9,2
117,117,117,117,2
93,93,93,93,1
90,90,90,90,1
82.4,82.4,82.4,82.4,1
68.4,68.4,68.4,68.4,1
93.1,93.1,93.1,93.1,1
109,109,109,109,2
118.5,118.5,118.5,118.5,2
126.6,126.6,126.6,126.6,2
119.2,119.2,119.2,119.2,1
127.4,127.4,127.4,127.4,2
143.5,143.5,143.5,143.5,2
154.2,154.2,154.2,154.2,2
141.7,141.7,141.7,141.7,2
136.9,136.9,136.9,136.9,2
128,128,128,128,2
134.4,134.4,134.4,134.4,2
144,144,144,144,2
