,predictions,,,,,19/09/19 06:45
0,1,,,,,~/IAFinancialmarket/B3SA3.csv
1,1,,,,,         Date  Fechamento  Abertura  Maxima  Minima  Chikou  Tekan  Kinju  Senkou A  Senkou B  Chikou0  Chikou1  Chikou2  T/K 0  T/K 1  T/K 2  Preco X T/K 0  Preco X T/K 1  Preco X T/K 2  Kumo 0  Kumo 1  Kumo 2  Resultado
2,1,,,,,0  02/01/2013       11.05     11.12    11.2   11.05   10.52  10.84  10.47     10.19      9.65        0        1        0      0      1      0              0              1              0       0       1       0          1
3,1,,,,,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,"
4,1,,,,,"       beta_2=0.999, early_stopping=False, epsilon=1e-08,"
5,1,,,,,"       hidden_layer_sizes=(100,), learning_rate='constant',"
6,1,,,,,"       learning_rate_init=0.001, max_iter=200, momentum=0.9,"
7,1,,,,,"       n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,"
8,1,,,,,"       random_state=None, shuffle=True, solver='adam', tol=0.0001,"
9,1,,,,,"       validation_fraction=0.1, verbose=False, warm_start=False)"
10,1,,,,,[1 1 1 ... 2 2 2]
11,1,,,,, Accuracy: 1.00 
12,1,,,,,
13,1,,,,,
14,1,,,,,
15,1,,,,,
16,0,,,,,
17,2,,,,,
18,1,,,,,
19,0,,,,,
20,1,,,,,
21,1,,,,,
22,1,,,,,
23,1,,,,,
24,1,,,,,
25,1,,,,,
26,0,,,,,
27,0,,,,,
28,0,,,,,
29,1,,,,,
30,1,,,,,
31,1,,,,,
32,2,,,,,
33,2,,,,,
34,2,,,,,
35,2,,,,,
36,2,,,,,
37,2,,,,,
38,2,,,,,
39,2,,,,,
40,2,,,,,
41,2,,,,,
42,2,,,,,
43,0,,,,,
44,0,,,,,
45,0,,,,,
46,2,,,,,
47,2,,,,,
48,2,,,,,
49,1,,,,,
50,1,,,,,
51,1,,,,,
52,1,,,,,
53,2,,,,,
54,2,,,,,
55,2,,,,,
56,2,,,,,
57,0,,,,,
58,0,,,,,
59,0,,,,,
60,2,,,,,
61,2,,,,,
62,0,,,,,
63,0,,,,,
64,1,,,,,
65,1,,,,,
66,1,,,,,
67,1,,,,,
68,2,,,,,
69,2,,,,,
70,2,,,,,
71,2,,,,,
72,2,,,,,
73,2,,,,,
74,2,,,,,
75,2,,,,,
76,2,,,,,
77,0,,,,,
78,1,,,,,
79,1,,,,,
80,1,,,,,
81,1,,,,,
82,1,,,,,
83,1,,,,,
84,1,,,,,
85,1,,,,,
86,1,,,,,
87,1,,,,,
88,1,,,,,
89,1,,,,,
90,1,,,,,
91,1,,,,,
92,1,,,,,
93,1,,,,,
94,1,,,,,
95,1,,,,,
96,1,,,,,
97,1,,,,,
98,1,,,,,
99,1,,,,,
100,1,,,,,
101,1,,,,,
102,1,,,,,
103,1,,,,,
104,1,,,,,
105,1,,,,,
106,0,,,,,
107,2,,,,,
108,2,,,,,
109,2,,,,,
110,2,,,,,
111,2,,,,,
112,2,,,,,
113,2,,,,,
114,2,,,,,
115,2,,,,,
116,2,,,,,
117,2,,,,,
118,2,,,,,
119,2,,,,,
120,2,,,,,
121,2,,,,,
122,2,,,,,
123,2,,,,,
124,2,,,,,
125,2,,,,,
126,2,,,,,
127,2,,,,,
128,2,,,,,
129,2,,,,,
130,2,,,,,
131,2,,,,,
132,2,,,,,
133,2,,,,,
134,0,,,,,
135,2,,,,,
136,2,,,,,
137,2,,,,,
138,2,,,,,
139,0,,,,,
140,0,,,,,
141,1,,,,,
142,1,,,,,
143,2,,,,,
144,0,,,,,
145,2,,,,,
146,2,,,,,
147,2,,,,,
148,2,,,,,
149,2,,,,,
150,2,,,,,
151,2,,,,,
152,2,,,,,
153,2,,,,,
154,2,,,,,
155,2,,,,,
156,2,,,,,
157,2,,,,,
158,2,,,,,
159,2,,,,,
160,2,,,,,
161,2,,,,,
162,2,,,,,
163,2,,,,,
164,2,,,,,
165,2,,,,,
166,2,,,,,
167,2,,,,,
168,2,,,,,
169,2,,,,,
170,1,,,,,
171,1,,,,,
172,1,,,,,
173,1,,,,,
174,1,,,,,
175,1,,,,,
176,1,,,,,
177,1,,,,,
178,1,,,,,
179,1,,,,,
180,1,,,,,
181,1,,,,,
182,1,,,,,
183,1,,,,,
184,1,,,,,
185,1,,,,,
186,1,,,,,
187,1,,,,,
188,1,,,,,
189,1,,,,,
190,1,,,,,
191,1,,,,,
192,1,,,,,
193,1,,,,,
194,1,,,,,
195,1,,,,,
196,1,,,,,
197,0,,,,,
198,1,,,,,
199,1,,,,,
200,1,,,,,
201,1,,,,,
202,1,,,,,
203,1,,,,,
204,1,,,,,
205,1,,,,,
206,1,,,,,
207,1,,,,,
208,1,,,,,
209,1,,,,,
210,1,,,,,
211,0,,,,,
212,2,,,,,
213,2,,,,,
214,2,,,,,
215,2,,,,,
216,2,,,,,
217,2,,,,,
218,2,,,,,
219,2,,,,,
220,2,,,,,
221,2,,,,,
222,2,,,,,
223,2,,,,,
224,2,,,,,
225,2,,,,,
226,2,,,,,
227,2,,,,,
228,2,,,,,
229,2,,,,,
230,2,,,,,
231,2,,,,,
232,2,,,,,
233,2,,,,,
234,2,,,,,
235,2,,,,,
236,2,,,,,
237,2,,,,,
238,2,,,,,
239,2,,,,,
240,2,,,,,
241,2,,,,,
242,2,,,,,
243,2,,,,,
244,2,,,,,
245,2,,,,,
246,2,,,,,
247,2,,,,,
248,2,,,,,
249,2,,,,,
250,2,,,,,
251,2,,,,,
252,2,,,,,
253,2,,,,,
254,2,,,,,
255,2,,,,,
256,2,,,,,
257,2,,,,,
258,2,,,,,
259,2,,,,,
260,2,,,,,
261,2,,,,,
262,2,,,,,
263,2,,,,,
264,2,,,,,
265,2,,,,,
266,2,,,,,
267,2,,,,,
268,2,,,,,
269,2,,,,,
270,2,,,,,
271,2,,,,,
272,2,,,,,
273,2,,,,,
274,2,,,,,
275,2,,,,,
276,2,,,,,
277,2,,,,,
278,2,,,,,
279,2,,,,,
280,2,,,,,
281,2,,,,,
282,2,,,,,
283,2,,,,,
284,2,,,,,
285,2,,,,,
286,2,,,,,
287,2,,,,,
288,0,,,,,
289,1,,,,,
290,1,,,,,
291,1,,,,,
292,1,,,,,
293,1,,,,,
294,1,,,,,
295,1,,,,,
296,1,,,,,
297,1,,,,,
298,1,,,,,
299,1,,,,,
300,1,,,,,
301,1,,,,,
302,1,,,,,
303,1,,,,,
304,1,,,,,
305,1,,,,,
306,1,,,,,
307,1,,,,,
308,1,,,,,
309,1,,,,,
310,1,,,,,
311,1,,,,,
312,1,,,,,
313,1,,,,,
314,1,,,,,
315,1,,,,,
316,1,,,,,
317,1,,,,,
318,1,,,,,
319,1,,,,,
320,1,,,,,
321,1,,,,,
322,1,,,,,
323,1,,,,,
324,1,,,,,
325,1,,,,,
326,1,,,,,
327,1,,,,,
328,1,,,,,
329,1,,,,,
330,1,,,,,
331,1,,,,,
332,1,,,,,
333,1,,,,,
334,1,,,,,
335,1,,,,,
336,1,,,,,
337,1,,,,,
338,1,,,,,
339,1,,,,,
340,1,,,,,
341,1,,,,,
342,1,,,,,
343,1,,,,,
344,1,,,,,
345,1,,,,,
346,1,,,,,
347,1,,,,,
348,1,,,,,
349,2,,,,,
350,2,,,,,
351,2,,,,,
352,2,,,,,
353,2,,,,,
354,2,,,,,
355,0,,,,,
356,0,,,,,
357,1,,,,,
358,1,,,,,
359,1,,,,,
360,1,,,,,
361,1,,,,,
362,1,,,,,
363,1,,,,,
364,1,,,,,
365,1,,,,,
366,1,,,,,
367,1,,,,,
368,1,,,,,
369,1,,,,,
370,1,,,,,
371,1,,,,,
372,1,,,,,
373,0,,,,,
374,1,,,,,
375,2,,,,,
376,0,,,,,
377,1,,,,,
378,1,,,,,
379,1,,,,,
380,1,,,,,
381,1,,,,,
382,1,,,,,
383,1,,,,,
384,1,,,,,
385,1,,,,,
386,1,,,,,
387,1,,,,,
388,1,,,,,
389,1,,,,,
390,1,,,,,
391,1,,,,,
392,1,,,,,
393,1,,,,,
394,1,,,,,
395,1,,,,,
396,1,,,,,
397,1,,,,,
398,1,,,,,
399,1,,,,,
400,0,,,,,
401,1,,,,,
402,1,,,,,
403,1,,,,,
404,1,,,,,
405,1,,,,,
406,1,,,,,
407,1,,,,,
408,1,,,,,
409,1,,,,,
410,1,,,,,
411,1,,,,,
412,1,,,,,
413,1,,,,,
414,1,,,,,
415,1,,,,,
416,1,,,,,
417,1,,,,,
418,1,,,,,
419,1,,,,,
420,1,,,,,
421,1,,,,,
422,1,,,,,
423,1,,,,,
424,1,,,,,
425,1,,,,,
426,0,,,,,
427,2,,,,,
428,2,,,,,
429,2,,,,,
430,2,,,,,
431,2,,,,,
432,2,,,,,
433,2,,,,,
434,2,,,,,
435,2,,,,,
436,2,,,,,
437,2,,,,,
438,2,,,,,
439,2,,,,,
440,2,,,,,
441,2,,,,,
442,2,,,,,
443,2,,,,,
444,2,,,,,
445,2,,,,,
446,2,,,,,
447,2,,,,,
448,2,,,,,
449,2,,,,,
450,2,,,,,
451,2,,,,,
452,2,,,,,
453,2,,,,,
454,2,,,,,
455,2,,,,,
456,2,,,,,
457,2,,,,,
458,2,,,,,
459,2,,,,,
460,2,,,,,
461,2,,,,,
462,2,,,,,
463,2,,,,,
464,2,,,,,
465,2,,,,,
466,2,,,,,
467,2,,,,,
468,2,,,,,
469,2,,,,,
470,2,,,,,
471,2,,,,,
472,2,,,,,
473,2,,,,,
474,2,,,,,
475,1,,,,,
476,2,,,,,
477,2,,,,,
478,0,,,,,
479,2,,,,,
480,2,,,,,
481,2,,,,,
482,2,,,,,
483,2,,,,,
484,2,,,,,
485,2,,,,,
486,2,,,,,
487,2,,,,,
488,2,,,,,
489,2,,,,,
490,2,,,,,
491,2,,,,,
492,2,,,,,
493,2,,,,,
494,2,,,,,
495,2,,,,,
496,2,,,,,
497,2,,,,,
498,2,,,,,
499,2,,,,,
500,2,,,,,
501,2,,,,,
502,2,,,,,
503,2,,,,,
504,2,,,,,
505,2,,,,,
506,2,,,,,
507,2,,,,,
508,0,,,,,
509,2,,,,,
510,1,,,,,
511,1,,,,,
512,1,,,,,
513,1,,,,,
514,0,,,,,
515,0,,,,,
516,2,,,,,
517,2,,,,,
518,0,,,,,
519,1,,,,,
520,0,,,,,
521,2,,,,,
522,2,,,,,
523,2,,,,,
524,2,,,,,
525,2,,,,,
526,2,,,,,
527,2,,,,,
528,1,,,,,
529,1,,,,,
530,1,,,,,
531,1,,,,,
532,1,,,,,
533,1,,,,,
534,1,,,,,
535,1,,,,,
536,1,,,,,
537,1,,,,,
538,1,,,,,
539,1,,,,,
540,1,,,,,
541,1,,,,,
542,1,,,,,
543,1,,,,,
544,1,,,,,
545,1,,,,,
546,1,,,,,
547,1,,,,,
548,1,,,,,
549,1,,,,,
550,1,,,,,
551,1,,,,,
552,1,,,,,
553,1,,,,,
554,1,,,,,
555,1,,,,,
556,1,,,,,
557,1,,,,,
558,1,,,,,
559,1,,,,,
560,1,,,,,
561,1,,,,,
562,1,,,,,
563,1,,,,,
564,1,,,,,
565,1,,,,,
566,1,,,,,
567,1,,,,,
568,1,,,,,
569,1,,,,,
570,1,,,,,
571,1,,,,,
572,1,,,,,
573,1,,,,,
574,1,,,,,
575,1,,,,,
576,1,,,,,
577,1,,,,,
578,1,,,,,
579,1,,,,,
580,1,,,,,
581,1,,,,,
582,1,,,,,
583,1,,,,,
584,1,,,,,
585,1,,,,,
586,1,,,,,
587,1,,,,,
588,1,,,,,
589,1,,,,,
590,1,,,,,
591,0,,,,,
592,2,,,,,
593,2,,,,,
594,2,,,,,
595,2,,,,,
596,2,,,,,
597,2,,,,,
598,2,,,,,
599,2,,,,,
600,2,,,,,
601,2,,,,,
602,2,,,,,
603,2,,,,,
604,2,,,,,
605,2,,,,,
606,2,,,,,
607,2,,,,,
608,2,,,,,
609,2,,,,,
610,2,,,,,
611,2,,,,,
612,2,,,,,
613,2,,,,,
614,2,,,,,
615,2,,,,,
616,2,,,,,
617,1,,,,,
618,2,,,,,
619,2,,,,,
620,0,,,,,
621,0,,,,,
622,0,,,,,
623,2,,,,,
624,1,,,,,
625,1,,,,,
626,1,,,,,
627,1,,,,,
628,1,,,,,
629,1,,,,,
630,2,,,,,
631,2,,,,,
632,2,,,,,
633,2,,,,,
634,2,,,,,
635,2,,,,,
636,2,,,,,
637,2,,,,,
638,2,,,,,
639,2,,,,,
640,2,,,,,
641,2,,,,,
642,2,,,,,
643,2,,,,,
644,2,,,,,
645,2,,,,,
646,2,,,,,
647,2,,,,,
648,2,,,,,
649,2,,,,,
650,2,,,,,
